latitude,longitude,sst_c,clim_sst,anomaly_c
51.2500,-3.2700,20.6600,19.0700,1.5900
51.2500,-3.2500,20.6700,19.0780,1.5920
51.2500,-3.2300,20.6800,19.0940,1.5860
51.2500,-3.2100,20.7100,19.1000,1.6100
51.2500,-3.1900,20.7400,19.1160,1.6240
51.2500,-3.1700,20.7600,19.1440,1.6160
51.2500,-3.1500,20.7800,19.1480,1.6320
51.2500,-3.1300,20.7700,19.1660,1.6040
51.2500,-3.1100,20.7500,19.1560,1.5940
51.2500,-3.0900,20.7100,19.1420,1.5680
51.2500,-3.0700,20.6800,19.1180,1.5620
51.2500,-3.0500,20.6500,19.1060,1.5440
51.2500,-3.0300,20.6400,19.0900,1.5500
51.2700,-6.4900,17.7000,16.5060,1.1940
51.2700,-6.4700,17.6700,16.4840,1.1860
51.2700,-6.4500,17.6100,16.4660,1.1440
51.2700,-6.4300,17.5800,16.4440,1.1360
51.2700,-6.4100,17.6000,16.4340,1.1660
51.2700,-6.3900,17.6600,16.4440,1.2160
51.2700,-6.3700,17.7800,16.4460,1.3340
51.2700,-6.3500,17.9300,16.4420,1.4880
51.2700,-6.3300,18.1100,16.4360,1.6740
51.2700,-6.3100,18.3200,16.4360,1.8840
51.2700,-6.2900,18.4900,16.4460,2.0440
51.2700,-6.2700,18.6700,16.4520,2.2180
51.2700,-6.2500,18.8000,16.4700,2.3300
51.2700,-6.2300,18.9100,16.4980,2.4120
51.2700,-6.2100,19.0200,16.5240,2.4960
51.2700,-6.1900,19.1000,16.5520,2.5480
51.2700,-6.1700,19.1600,16.5800,2.5800
51.2700,-6.1500,19.2100,16.6260,2.5840
51.2700,-6.1300,19.2300,16.6720,2.5580
51.2700,-6.1100,19.2300,16.7140,2.5160
51.2700,-6.0900,19.2400,16.7400,2.5000
51.2700,-6.0700,19.2900,16.7580,2.5320
51.2700,-6.0500,19.3200,16.7820,2.5380
51.2700,-6.0300,19.3700,16.8060,2.5640
51.2700,-6.0100,19.3900,16.8380,2.5520
