date,latitude,longitude,sst_c
1873-03-16T12:00:00+00:00,53.5000,-4.5000,7.1215
1873-03-16T12:00:00+00:00,53.5000,-3.5000,6.9065
1873-03-16T12:00:00+00:00,52.5000,-6.5000,8.1054
1873-03-16T12:00:00+00:00,52.5000,-5.5000,7.6508
1873-03-16T12:00:00+00:00,52.5000,-4.5000,7.4915
1873-03-16T12:00:00+00:00,51.5000,-6.5000,8.3618
1873-03-16T12:00:00+00:00,51.5000,-5.5000,8.1310
1873-03-16T12:00:00+00:00,51.5000,-4.5000,7.9398
1873-03-16T12:00:00+00:00,51.5000,-3.5000,8.0457
1873-04-16T00:00:00+00:00,53.5000,-5.5000,8.1865
1873-04-16T00:00:00+00:00,53.5000,-4.5000,8.1265
1873-04-16T00:00:00+00:00,53.5000,-3.5000,7.9659
1873-04-16T00:00:00+00:00,52.5000,-6.5000,8.9535
1873-04-16T00:00:00+00:00,52.5000,-5.5000,8.5699
1873-04-16T00:00:00+00:00,52.5000,-4.5000,8.4642
1873-04-16T00:00:00+00:00,51.5000,-6.5000,9.1906
1873-04-16T00:00:00+00:00,51.5000,-5.5000,9.0064
1873-04-16T00:00:00+00:00,51.5000,-4.5000,8.8731
1873-04-16T00:00:00+00:00,51.5000,-3.5000,8.9744
1873-05-16T12:00:00+00:00,53.5000,-5.5000,9.9320
1873-05-16T12:00:00+00:00,53.5000,-4.5000,9.9138
1873-05-16T12:00:00+00:00,53.5000,-3.5000,9.7628
1873-05-16T12:00:00+00:00,52.5000,-6.5000,10.7149
1873-05-16T12:00:00+00:00,52.5000,-5.5000,10.3643
1873-05-16T12:00:00+00:00,52.5000,-4.5000,10.3120
1873-05-16T12:00:00+00:00,51.5000,-6.5000,10.9350
1873-05-16T12:00:00+00:00,51.5000,-5.5000,10.7980
1873-05-16T12:00:00+00:00,51.5000,-4.5000,10.7373
1873-05-16T12:00:00+00:00,51.5000,-3.5000,10.8713
1873-06-16T00:00:00+00:00,53.5000,-5.5000,12.2931
1873-06-16T00:00:00+00:00,53.5000,-4.5000,12.2397
1873-06-16T00:00:00+00:00,53.5000,-3.5000,12.0238
1873-06-16T00:00:00+00:00,52.5000,-6.5000,13.2018
1873-06-16T00:00:00+00:00,52.5000,-5.5000,12.7950
1873-06-16T00:00:00+00:00,52.5000,-4.5000,12.7120
1873-06-16T00:00:00+00:00,51.5000,-6.5000,13.4542
