date,sst_c
2019-02-02 00:00:00+00:00,9.2523
2019-02-03 00:00:00+00:00,9.0702
2019-02-04 00:00:00+00:00,9.0671
2019-02-05 00:00:00+00:00,8.9637
2019-02-06 00:00:00+00:00,8.9623
2019-02-07 00:00:00+00:00,8.8741
2019-02-08 00:00:00+00:00,8.8689
2019-02-09 00:00:00+00:00,8.7501
2019-02-10 00:00:00+00:00,8.7697
2019-02-11 00:00:00+00:00,8.7321
2019-02-12 00:00:00+00:00,8.7764
2019-02-13 00:00:00+00:00,8.7783
2019-02-14 00:00:00+00:00,8.7776
2019-02-15 00:00:00+00:00,8.7771
2019-02-16 00:00:00+00:00,8.6548
2019-02-17 00:00:00+00:00,8.6262
2019-02-18 00:00:00+00:00,8.6758
2019-02-19 00:00:00+00:00,8.7529
2019-02-20 00:00:00+00:00,8.7508
2019-02-21 00:00:00+00:00,8.6226
2019-02-22 00:00:00+00:00,8.7172
2019-02-23 00:00:00+00:00,8.6826
2019-02-24 00:00:00+00:00,8.6935
2019-02-25 00:00:00+00:00,8.6472
2019-02-26 00:00:00+00:00,8.8271
2019-02-27 00:00:00+00:00,8.9241
2019-02-28 00:00:00+00:00,8.9511
2019-03-01 00:00:00+00:00,8.9082
2019-03-02 00:00:00+00:00,8.8087
2019-03-03 00:00:00+00:00,8.6990
2019-03-04 00:00:00+00:00,8.6972
2019-03-05 00:00:00+00:00,8.6521
2019-03-06 00:00:00+00:00,8.6522
2019-03-07 00:00:00+00:00,8.6338
2019-03-08 00:00:00+00:00,8.5953
2019-03-09 00:00:00+00:00,8.6628
2019-03-10 00:00:00+00:00,8.6543
2019-03-11 00:00:00+00:00,8.5003
2019-03-12 00:00:00+00:00,8.4974
2019-03-13 00:00:00+00:00,8.4046
2019-03-14 00:00:00+00:00,7.8238
2019-03-15 00:00:00+00:00,7.8211
2019-03-16 00:00:00+00:00,7.8318
2019-03-17 00:00:00+00:00,8.2077
2019-03-18 00:00:00+00:00,8.4216
2019-03-19 00:00:00+00:00,8.4245
2019-03-20 00:00:00+00:00,8.1873
2019-03-21 00:00:00+00:00,8.2429
2019-03-22 00:00:00+00:00,7.9568
2019-03-23 00:00:00+00:00,7.9599
2019-03-24 00:00:00+00:00,8.5734
2019-03-25 00:00:00+00:00,8.6388
2019-03-26 00:00:00+00:00,8.7432
2019-03-27 00:00:00+00:00,8.8621
2019-03-28 00:00:00+00:00,8.9090
2019-03-29 00:00:00+00:00,9.1117
2019-03-30 00:00:00+00:00,9.1134
2019-03-31 00:00:00+00:00,8.8916
2019-04-01 00:00:00+00:00,8.8436
2019-04-02 00:00:00+00:00,8.5941
2019-04-03 00:00:00+00:00,8.8247
2019-04-04 00:00:00+00:00,8.8127
2019-04-05 00:00:00+00:00,8.8343
2019-04-06 00:00:00+00:00,8.8344
2019-04-07 00:00:00+00:00,8.9058
2019-04-08 00:00:00+00:00,8.9204
2019-04-09 00:00:00+00:00,8.8943
2019-04-10 00:00:00+00:00,8.9745
2019-04-11 00:00:00+00:00,9.0813
2019-04-12 00:00:00+00:00,8.9924
2019-04-13 00:00:00+00:00,9.0855
2019-04-14 00:00:00+00:00,9.0813
2019-04-15 00:00:00+00:00,9.0780
2019-04-16 00:00:00+00:00,9.0566
2019-04-17 00:00:00+00:00,9.0223
2019-04-18 00:00:00+00:00,8.9989
2019-04-19 00:00:00+00:00,8.7851
2019-04-20 00:00:00+00:00,8.6077
2019-04-21 00:00:00+00:00,8.7163
2019-04-22 00:00:00+00:00,9.2216
2019-04-23 00:00:00+00:00,9.1460
2019-04-24 00:00:00+00:00,9.1426
2019-04-25 00:00:00+00:00,9.3223
2019-04-26 00:00:00+00:00,9.5502
2019-04-27 00:00:00+00:00,9.4533
2019-04-28 00:00:00+00:00,9.3245
2019-04-29 00:00:00+00:00,9.3135
2019-04-30 00:00:00+00:00,9.2854
2019-05-01 00:00:00+00:00,9.2834
2019-05-02 00:00:00+00:00,9.4364
