period,start_date,end_date,end_year,mean_temperature_c,days,status,rank_warmest,smoothed_trend_c,reference_mean_c,lowest_published_c,highest_published_c,latest_c,latest_status,july_2026_value_c,source_last_updated
1977-08 to 1978-07,1977-08-01,1978-07-31,1978,8.455616,365,published-inputs,100,8.637970,9.418356,7.003005,10.315068,10.626849,illustrative scenario,18.000000,01-Jul-2026 11:33
1978-08 to 1979-07,1978-08-01,1979-07-31,1979,7.996712,365,published-inputs,130,8.649289,9.418356,7.003005,10.315068,10.626849,illustrative scenario,18.000000,01-Jul-2026 11:33
1979-08 to 1980-07,1979-08-01,1980-07-31,1980,8.555191,366,published-inputs,91,8.662593,9.418356,7.003005,10.315068,10.626849,illustrative scenario,18.000000,01-Jul-2026 11:33
1980-08 to 1981-07,1980-08-01,1981-07-31,1981,8.731507,365,published-inputs,71,8.678341,9.418356,7.003005,10.315068,10.626849,illustrative scenario,18.000000,01-Jul-2026 11:33
1981-08 to 1982-07,1981-08-01,1982-07-31,1982,8.612877,365,published-inputs,82,8.696923,9.418356,7.003005,10.315068,10.626849,illustrative scenario,18.000000,01-Jul-2026 11:33
1982-08 to 1983-07,1982-08-01,1983-07-31,1983,8.918904,365,published-inputs,53,8.718629,9.418356,7.003005,10.315068,10.626849,illustrative scenario,18.000000,01-Jul-2026 11:33
1983-08 to 1984-07,1983-08-01,1984-07-31,1984,8.909836,366,published-inputs,54,8.743621,9.418356,7.003005,10.315068,10.626849,illustrative scenario,18.000000,01-Jul-2026 11:33
1984-08 to 1985-07,1984-08-01,1985-07-31,1985,8.472055,365,published-inputs,97,8.771924,9.418356,7.003005,10.315068,10.626849,illustrative scenario,18.000000,01-Jul-2026 11:33
1985-08 to 1986-07,1985-08-01,1986-07-31,1986,7.982466,365,published-inputs,132,8.803426,9.418356,7.003005,10.315068,10.626849,illustrative scenario,18.000000,01-Jul-2026 11:33
1986-08 to 1987-07,1986-08-01,1987-07-31,1987,8.143014,365,published-inputs,124,8.837887,9.418356,7.003005,10.315068,10.626849,illustrative scenario,18.000000,01-Jul-2026 11:33
1987-08 to 1988-07,1987-08-01,1988-07-31,1988,8.930328,366,published-inputs,51,8.874963,9.418356,7.003005,10.315068,10.626849,illustrative scenario,18.000000,01-Jul-2026 11:33
1988-08 to 1989-07,1988-08-01,1989-07-31,1989,9.429041,365,published-inputs,29,8.914229,9.418356,7.003005,10.315068,10.626849,illustrative scenario,18.000000,01-Jul-2026 11:33
1989-08 to 1990-07,1989-08-01,1990-07-31,1990,9.741370,365,published-inputs,14,8.955198,9.418356,7.003005,10.315068,10.626849,illustrative scenario,18.000000,01-Jul-2026 11:33
1990-08 to 1991-07,1990-08-01,1991-07-31,1991,8.715068,365,published-inputs,73,8.997350,9.418356,7.003005,10.315068,10.626849,illustrative scenario,18.000000,01-Jul-2026 11:33
1991-08 to 1992-07,1991-08-01,1992-07-31,1992,9.445628,366,published-inputs,28,9.040146,9.418356,7.003005,10.315068,10.626849,illustrative scenario,18.000000,01-Jul-2026 11:33
