year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,win,spr,sum,aut,ann
1917,59.600000,45.900000,90.300000,74.400000,94.700000,79.800000,75.200000,275.200000,82.800000,206.600000,115.000000,53.100000,204.400000,259.400000,430.300000,404.300000,1252.600000
1918,133.300000,130.000000,71.800000,57.200000,82.700000,55.200000,136.400000,78.000000,279.100000,129.700000,109.900000,223.800000,316.300000,211.700000,269.500000,518.700000,1486.900000
1919,156.300000,88.100000,187.000000,80.400000,34.800000,73.600000,49.400000,106.800000,90.300000,80.600000,90.000000,235.000000,468.200000,302.200000,229.800000,260.800000,1272.200000
1920,182.700000,98.800000,182.700000,195.200000,120.600000,98.500000,198.400000,81.500000,121.100000,120.600000,78.400000,138.800000,516.500000,498.500000,378.500000,320.000000,1617.300000
1921,188.400000,11.300000,141.700000,41.000000,61.900000,11.800000,70.000000,164.200000,56.000000,80.700000,100.100000,139.300000,338.500000,244.600000,246.000000,236.800000,1066.500000
1922,154.100000,169.100000,116.000000,94.500000,42.300000,53.400000,152.100000,112.600000,116.800000,40.600000,70.400000,183.700000,462.500000,252.800000,318.100000,227.700000,1305.400000
1923,112.900000,261.000000,57.400000,94.800000,98.600000,35.000000,103.800000,140.900000,134.100000,230.800000,147.800000,141.200000,557.600000,250.800000,279.700000,512.800000,1558.500000
1924,143.900000,25.400000,57.000000,107.800000,146.900000,88.300000,160.200000,167.500000,189.000000,164.600000,96.500000,220.000000,310.500000,311.700000,416.000000,450.100000,1567.100000
1925,127.500000,219.700000,44.000000,89.800000,136.100000,2.400000,86.000000,134.600000,123.600000,179.100000,94.800000,130.300000,567.200000,269.800000,222.900000,397.500000,1367.800000
1926,178.600000,117.400000,38.900000,69.400000,84.500000,70.600000,128.600000,131.300000,73.700000,119.500000,250.500000,32.800000,426.300000,192.800000,330.500000,443.700000,1295.800000
1927,160.900000,108.400000,141.000000,67.100000,52.900000,142.900000,131.500000,223.300000,173.000000,133.500000,156.400000,79.000000,302.100000,261.100000,497.800000,462.900000,1570.100000
